tag,step,wall_time,value
train/loss,1,1789373948.1301434,9.789295196533203
train/loss,2,1789373948.360902,9.784280776977539
train/loss,3,1789373948.6158814,9.79007339477539
train/loss,4,1789373948.8386943,9.763988494873047
train/loss,5,1789373949.0528767,9.736705780029297
train/loss,6,1789373949.2623541,9.72714614868164
train/loss,7,1789373949.4699051,9.691207885742188
train/loss,8,1789373949.6793377,9.629878997802734
train/loss,9,1789373949.8892097,9.626548767089844
train/loss,10,1789373950.0991771,9.606266021728516
train/loss,11,1789373950.3093224,9.533340454101562
train/loss,12,1789373950.5190558,9.503311157226562
train/loss,13,1789373950.7483635,9.414005279541016
train/loss,14,1789373950.9946125,9.372875213623047
train/loss,15,1789373951.2565029,9.287212371826172
train/loss,16,1789373951.5115302,9.227193832397461
train/loss,17,1789373951.7643428,9.164161682128906
train/loss,18,1789373951.9860225,9.124645233154297
train/loss,19,1789373952.2070234,9.025371551513672
train/loss,20,1789373952.4252179,8.93440055847168
train/loss,21,1789373952.6442735,8.853815078735352
train/loss,22,1789373952.8664703,8.787101745605469
train/loss,23,1789373953.083363,8.677591323852539
train/loss,24,1789373953.3005369,8.607160568237305
train/loss,25,1789373953.5325913,8.50718879699707
train/loss,26,1789373953.7585347,8.392065048217773
train/loss,27,1789373953.9731548,8.32084846496582
train/loss,28,1789373954.1899462,8.304228782653809
train/loss,29,1789373954.417961,8.154404640197754
train/loss,30,1789373954.8995533,8.066761016845703
train/loss,31,1789373955.1252766,7.969723701477051
train/loss,32,1789373955.339918,7.97248649597168
train/loss,33,1789373955.554564,7.858949661254883
train/loss,34,1789373955.7668612,7.825710296630859
train/loss,35,1789373955.9777327,7.790699005126953
train/loss,36,1789373956.1924584,7.722557067871094
train/loss,37,1789373956.40833,7.708076477050781
train/loss,38,1789373956.6244392,7.65272331237793
train/loss,39,1789373956.8351605,7.694205284118652
train/loss,40,1789373957.044832,7.616833686828613
train/loss,41,1789373957.2593791,7.6060943603515625
train/loss,42,1789373957.4695091,7.53730583190918
train/loss,43,1789373957.6902926,7.623865127563477
train/loss,44,1789373957.9431152,7.530961036682129
train/loss,45,1789373958.1710618,7.58787727355957
train/loss,46,1789373958.4039705,7.513664722442627
train/loss,47,1789373958.6280038,7.510663032531738
train/loss,48,1789373958.8432965,7.459446430206299
train/loss,49,1789373959.0643394,7.490945816040039
train/loss,50,1789373959.3062158,7.361506462097168
train/loss,51,1789373959.5427976,7.401786804199219
train/loss,52,1789373959.7624547,7.444269180297852
train/loss,53,1789373959.976557,7.379870891571045
train/loss,54,1789373960.2136161,7.367001533508301
train/loss,55,1789373960.4612195,7.361103534698486
train/loss,56,1789373960.7095256,7.304656028747559
train/loss,57,1789373960.9593585,7.309804916381836
train/loss,58,1789373961.1993759,7.128292083740234
train/loss,59,1789373961.427219,7.229119777679443
train/loss,60,1789373961.9955611,7.189777851104736
train/loss,61,1789373962.2366042,7.173594951629639
train/loss,62,1789373962.4681056,7.134574890136719
train/loss,63,1789373962.6906888,7.1125617027282715
train/loss,64,1789373962.9207964,7.160032749176025
train/loss,65,1789373963.1444385,7.17527961730957
train/loss,66,1789373963.3787684,7.011928558349609
train/loss,67,1789373963.602505,7.055888652801514
train/loss,68,1789373963.8515878,6.962306499481201
train/loss,69,1789373964.0733159,7.017093658447266
train/loss,70,1789373964.2911146,6.996060371398926
train/loss,71,1789373964.525305,6.999134063720703
train/loss,72,1789373964.7558813,6.900061130523682
train/loss,73,1789373964.9735942,6.899589538574219
train/loss,74,1789373965.1833174,6.801660537719727
train/loss,75,1789373965.4461017,6.8201518058776855
train/loss,76,1789373965.6998436,6.887027740478516
train/loss,77,1789373965.957158,6.8242411613464355
train/loss,78,1789373966.2101784,6.682815074920654
train/loss,79,1789373966.4296968,6.788586616516113
train/loss,80,1789373966.6445034,6.824042320251465
train/loss,81,1789373966.8587854,6.632061958312988
train/loss,82,1789373967.069449,6.64896297454834
train/loss,83,1789373967.2842765,6.714034557342529
train/loss,84,1789373967.492377,6.707622528076172
train/loss,85,1789373967.703197,6.691079616546631
train/loss,86,1789373967.9180744,6.614075660705566
train/loss,87,1789373968.1770043,6.842085361480713
train/loss,88,1789373968.4228168,6.544882774353027
train/loss,89,1789373968.6639514,6.49075174331665
train/loss,90,1789373969.2424402,6.5750555992126465
train/loss,91,1789373969.4833553,6.575565338134766
train/loss,92,1789373969.7253556,6.447233200073242
train/loss,93,1789373969.9642365,6.52243709564209
train/loss,94,1789373970.1939974,6.497215270996094
train/loss,95,1789373970.4341853,6.419525146484375
train/loss,96,1789373970.670374,6.360537052154541
train/loss,97,1789373970.891342,6.386075973510742
train/loss,98,1789373971.1164505,6.334258556365967
train/loss,99,1789373971.339324,6.3453240394592285
train/loss,100,1789373971.56145,6.403576374053955
train/loss,101,1789373971.775756,6.4777069091796875
train/loss,102,1789373971.9970522,6.473823070526123
train/loss,103,1789373972.219097,6.400333404541016
train/loss,104,1789373972.4362452,6.414401531219482
train/loss,105,1789373972.6608531,6.270045280456543
train/loss,106,1789373972.8930335,6.3579559326171875
train/loss,107,1789373973.1261854,6.322859287261963
train/loss,108,1789373973.3614755,6.352023601531982
train/loss,109,1789373973.580226,6.447796821594238
train/loss,110,1789373973.8122447,6.328195571899414
train/loss,111,1789373974.048292,6.346474647521973
train/loss,112,1789373974.2775338,6.392977714538574
train/loss,113,1789373974.4936564,6.310851573944092
train/loss,114,1789373974.7095253,6.246889114379883
train/loss,115,1789373974.9208667,6.323548316955566
train/loss,116,1789373975.1365256,6.328596591949463
train/loss,117,1789373975.3442936,6.274965286254883
train/loss,118,1789373975.5566514,6.266190528869629
train/loss,119,1789373975.7692103,6.1558990478515625
train/loss,120,1789373976.3659797,6.248440742492676
train/loss,121,1789373976.6370037,6.259099006652832
train/loss,122,1789373976.8588362,6.09874963760376
train/loss,123,1789373977.1207762,6.132746696472168
train/loss,124,1789373977.3834305,6.276627540588379
train/loss,125,1789373977.653602,6.1479172706604
train/loss,126,1789373977.9168477,6.091952323913574
train/loss,127,1789373978.17741,6.263829231262207
train/loss,128,1789373978.390403,6.201189041137695
train/loss,129,1789373978.6066716,6.149758815765381
train/loss,130,1789373978.833914,6.267394542694092
train/loss,131,1789373979.0563312,6.239516258239746
train/loss,132,1789373979.2802439,6.13608980178833
train/loss,133,1789373979.5220375,6.185455799102783
train/loss,134,1789373979.7415242,6.140528202056885
train/loss,135,1789373979.9664378,6.167584419250488
train/loss,136,1789373980.1823282,6.048785209655762
train/loss,137,1789373980.3961477,5.997097015380859
train/loss,138,1789373980.6040728,6.130234718322754
train/loss,139,1789373980.813116,6.118016719818115
train/loss,140,1789373981.0209613,6.037163734436035
train/loss,141,1789373981.2392395,6.117860317230225
train/loss,142,1789373981.4557352,6.089612007141113
train/loss,143,1789373981.6811771,6.009881019592285
train/loss,144,1789373981.9053931,6.126967430114746
train/loss,145,1789373982.12247,6.117101669311523
train/loss,146,1789373982.3395405,6.064977645874023
train/loss,147,1789373982.5648832,6.197193145751953
train/loss,148,1789373982.7868586,6.0056915283203125
train/loss,149,1789373983.0043092,6.0343217849731445
train/loss,150,1789373997.3012094,6.010468006134033
train/loss,151,1789373997.517169,6.091617584228516
train/loss,152,1789373997.7239366,6.016863822937012
train/loss,153,1789373997.930699,5.912585258483887
train/loss,154,1789373998.1496263,6.034370422363281
train/loss,155,1789373998.3983219,5.860573768615723
train/loss,156,1789373998.6197019,6.035702705383301
train/loss,157,1789373998.8565042,5.848657608032227
train/loss,158,1789373999.1190252,5.915753364562988
train/loss,159,1789373999.384377,6.019229888916016
train/loss,160,1789373999.6432004,5.919558525085449
train/loss,161,1789373999.9040325,5.840720176696777
train/loss,162,1789374000.1417978,5.983885288238525
train/loss,163,1789374000.375073,5.802219390869141
train/loss,164,1789374000.6175106,6.052175521850586
train/loss,165,1789374000.8467085,6.019366264343262
train/loss,166,1789374001.0966053,5.986079216003418
train/loss,167,1789374001.3428514,5.803274154663086
train/loss,168,1789374001.5771763,5.885862827301025
train/loss,169,1789374001.7923858,5.908658981323242
train/loss,170,1789374002.0061793,5.897731781005859
train/loss,171,1789374002.226136,5.906305313110352
train/loss,172,1789374002.4351969,5.858684539794922
train/loss,173,1789374002.6437938,5.794512748718262
train/loss,174,1789374002.850671,5.840404033660889
train/loss,175,1789374003.0570178,5.758488655090332
train/loss,176,1789374003.2735415,5.855792045593262
train/loss,177,1789374003.492386,5.975588798522949
train/loss,178,1789374003.7064073,5.9104180335998535
train/loss,179,1789374003.912976,5.941938400268555
train/loss,180,1789374004.3894637,5.834100723266602
train/loss,181,1789374004.604517,5.945914268493652
train/loss,182,1789374004.8132634,5.821767807006836
train/loss,183,1789374005.0201633,5.902154445648193
train/loss,184,1789374005.2346187,5.842779159545898
train/loss,185,1789374005.4565127,6.007554054260254
train/loss,186,1789374005.678093,5.901800632476807
train/loss,187,1789374005.8937516,5.693329811096191
train/loss,188,1789374006.1038938,5.906167984008789
train/loss,189,1789374006.3149073,5.723567008972168
