tokenizer,parameters,train_tokens,validation_loss
16k,6441216,9915198,4.856611654091232
16k,6441216,21164448,4.289952432430382
16k,6441216,98888867,3.827316525255473
16k,6441216,213050814,3.682264889578694
16k,14182784,9915198,4.758848577850959
16k,14182784,21164448,4.172945402417531
16k,14182784,98888867,3.6798078479755167
16k,14182784,213050814,3.5164528056586803
16k,26851712,9915198,4.660798285041057
16k,26851712,21164448,4.092125605427262
16k,26851712,98888867,3.5740005240875448
16k,26851712,989446018,3.1763040597498673
16k,6441216,459172724,3.5742336249833304
16k,6441216,989446018,3.487067831475094
