tokenizer,parameters,train_tokens,validation_loss
16k,6441216,989446018,3.596913365155586
16k,6441216,459172724,3.677514042477628
16k,6441216,213050814,3.79856984219665
16k,6441216,45798717,4.175400710704498
16k,6441216,9915198,5.144788586253851
16k,26851712,45798717,3.983108401838724
16k,26851712,9915198,5.091655838190232
16k,14182784,45798717,4.073655138407028
16k,14182784,9915198,5.083613310777111
16k,14182784,98888867,3.8383546895799796
16k,26851712,98888867,3.746472038787636
16k,6441216,98888867,3.9565260619089346
16k,6441216,21164448,4.521703773120103
16k,14182784,21164448,4.422407973710555
16k,26851712,21164448,4.40409220446127
16k,49877504,9915198,5.095852165198808
16k,49877504,21164448,4.371597468509896
16k,49877504,98888867,3.6687003729610597
16k,49877504,45798717,3.9570892866593668
16k,26851712,989446018,3.2994598491456126
